createdAt,text,sentimen,validasi_h1
2026-04-12 06:52:40,"@DennySeggssegar @sampahfhui Statement sampahh, pengacara handal? Bentukan penjahat kelamin gitu jadi pengacara handal sakit luu bang.",Positive,1
2026-04-12 06:59:59,@DennySeggssegar @sampahfhui lu kira korupsi sifatnya gak pribadi?,Positive,0
2026-04-12 07:57:39,"@MastinSaurus @sampahfhui yang namanya grup chat atau bahkan chat pribadi sekalipun pasti punya risiko untuk tersebar. Itu jelas berbeda dengan apa yang masih berada di dalam kepala, yang benar-benar privat. seharusnya mereka2 pada sadar akan risiko itu.",Positive,1
2026-04-12 08:07:57,@DennySeggssegar @sampahfhui baru jadi calon pengacara aja udah ngelecehin,Positive,1
2026-04-12 08:10:21,@DennySeggssegar @sampahfhui Inilah knp sistem hukum di indonesia gk bnr. Pemikiran mahasiswanya aja begini @mydazeae,Positive,1
2026-04-12 08:23:50,anjg itu kasus fh ui parah bgt dah masa ga di kick dr kampus,Positive,1
2026-04-12 09:41:09,@DennySeggssegar @sampahfhui disosmed selalu ada yg kontra tiap ada kejadian kriminal yg terungkap dan biasanya template akun gajelas komentar ragebait atau emang sefrekuensi sama pelaku!! intinya dunia ini emang udh rusak gada satu manusiapun yg bisa dipercaya 100%,Positive,1
2026-04-12 09:53:49,"@DennySeggssegar @sampahfhui Wak jadi calon pengacara handal itu harus bersih jejak digital nya, apa lagi jadi pns lebih sulit lagi kode etiknya dalam kegiatan secara online",Neutral,0
2026-04-12 10:12:06,"Wadidaw oknum cwo2 mahasiswa FHUI yg obrolan chatnya saru, ngelecehin cewe gitu, lah kok berani banget ngobrolin hal ky gitu di apk? Itu klo ada yg cepu bisa di ss &amp; tau2 nyebar. &amp; kenyataan kan? Lagi pada uji nyali atau emang lagi goblog aja? 🤔",Positive,1
2026-04-12 11:04:49,"@Ritzhy1 @ulil_f4 @bachrum_achmadi Maaf mas anda ga ngerti ilmu hukum, makanya anda mikirnya sama aja. Di dlm ilmu hukum dan aturan hukum ga bisa spt itu. Perdata bsa diwakilkan pengacara dan jokowi bkn tersangka namun saksi jd ga wajib dtg. Jika pidana pun bisa diwakilkan slama bkn terdakwa. Tp beliau mau hadir",Neutral,0
2026-04-12 11:14:52,"@ajarofcookies @DennySeggssegar @sampahfhui U ngelakuin pelecehan (verbal, teks, atau gambar) di dalam grup WhatsApp/Line, ya tetap memiliki unsur pidana. Regardless itu ruang pribadi apa bukan. Dalam hukum pidana, lokasi tidak menghapuskan sifat pidana suatu perbuatan. ruang privat = bebas hukum? Jelas tidak.",Positive,1
2026-04-12 11:21:25,"@DennySeggssegar @sampahfhui nyabu juga bnyk yg private, apa karena private jdi bebas dari hukum? bisa2x nya yg ginian ada SJW nya",Positive,1
2026-04-12 11:45:25,ngeliat kasus fh ui ngelecehin cewe2 di group chat gw jd ke trigger gitu dah karena gw dan temen gw pernah jd bahan omongan cowo2 persis sebejat itu di gc mereka,Positive,1
2026-04-12 12:13:00,"@DennySeggssegar @sampahfhui gw lulusan kampus tsb btw, dan gw bukan yg hebat2 amat. mind you kuliah gw jauh lebih lurus dibanding bejat2 tsb. ga jadi apa2 kok gw. apalagi yang otaknya satu senti kek mereka2 itu. fhui bukan jaminan, malah bisa jadi bumerang",Positive,1
2026-04-12 12:24:16,x gua kenapa gabisa munculin foto dah padahal gua mau baca kasus fh ui itu,Neutral,0
2026-04-12 12:27:06,"@DennySeggssegar @sampahfhui who cares, go back to ur stank room you old hag",Negative,0
2026-04-12 12:55:00,"Semua berawal dari sebuah akun yang mengungkap screenshot grup chat pribadi mahasiswa FHUI yang isinya penuh objektifikasi, lelucon cabul, dan komentar tak senonoh terhadap perempuan. Akun @sampahfhui menjadi yang pertama mengangkat isu ini pada Sabtu malam, 11 April 2026 pukul 20.23 WIB. https://t.co/DffGDw4ALe Dalam thread-nya yang langsung viral (sudah ditonton lebih dari 6,6 juta kali), akun tersebut menuliskan: “[anak fhui bikin grup isinya lecehin perempuan tiap hari???]” Dilanjutkan penjelasan panjang: grup chat tersebut rutin membahas tubuh perempuan, mengomentari foto Instagram, bahkan menggunakan frasa seperti “diam berarti consent” dan “asas perkosa”. Lebih parah lagi, banyak anggota grup adalah petinggi organisasi kampus, ketua angkatan, hingga calon ketua pelaksana ospek. Mereka sendiri sadar risikonya — dalam chat terlihat mereka bilang kalau grup ini bocor “tamat karir di FH” — tapi tetap melanjutkan. Screenshot chat yang dibagikan @sampahfhui menunjukkan nama-nama seperti Valenza Harisman, Irfan Khalis (disebut-sebut Ketua HMI FHUI), Dipatya/Echadeyca, Rafi M, Simon Patrick, dan lainnya. Obrolan mereka vulgar: membahas “susu”, bentuk tubuh, toilet, hingga lelucon seksual eksplisit. Netizen langsung ramai membagikan daftar nama lengkap yang diduga terlibat. Hanya dalam hitungan jam, isu ini meledak. Ribuan netizen mengecam keras, menuntut Drop Out (DO), blacklist dari dunia hukum, hingga blacklist HRD perusahaan. Banyak yang kecewa karena pelakunya justru calon-calon ahli hukum yang seharusnya paling paham etika dan martabat manusia. Puncaknya, pada Minggu pagi 12 April 2026, Fakultas Hukum UI (@HukumUI) resmi merilis pernyataan melalui akun resmi mereka. https://t.co/IKLJ49DqZO Dalam pernyataan yang diposting pukul 11.29 WIB, FHUI menyatakan: “Pada tanggal 12 April 2026, Fakultas menerima laporan mengenai dugaan pelanggaran kode etik yang juga berpotensi mengandung unsur tindak pidana, terkait aktivitas sebagian mahasiswa… Fakultas mengecam keras segala bentuk perilaku yang merendahkan martabat manusia serta bertentangan dengan nilai hukum dan etika akademik. Saat ini, Fakultas tengah melakukan penelusuran dan verifikasi secara serius, cermat, dan menyeluruh.” Fakultas menjanjikan langkah tegas jika terbukti, termasuk koordinasi dengan pihak berwenang, serta menjamin keselamatan sivitas akademika. Namun, pernyataan ini menuai kritik karena belum menyebut nama pelaku secara terbuka. Banyak netizen menuntut: “Say the name!” dan “DO aja, jangan cuma mengecam!”. Reaksi publik semakin panas Banyak yang mengaitkan kasus ini dengan budaya “educated but not well-mannered” di kampus top Indonesia. Ada yang khawatir kelak para pelaku ini menjadi jaksa, hakim, atau pengacara yang justru melecehkan korban. Sebagian netizen juga membagikan bukti tambahan dan daftar nama lengkap yang beredar di replies thread asli. Kasus ini kembali menyoroti pentingnya edukasi etika dan pencegahan kekerasan seksual di lingkungan kampus, terutama di fakultas yang mengajarkan hukum. FHUI sendiri kini berada di bawah sorotan publik: apakah akan tegas memberi sanksi berat atau hanya formalitas? SERUJI akan terus update informasi kasus ini. Data diverifikasi per 12 April 2026 pukul 12.43 WIB)",Neutral,0
2026-04-12 12:55:16,@DennySeggssegar @sampahfhui “calon-calon pengacara handal” https://t.co/CYpE8b48Ht,Negative,0
2026-04-12 13:01:57,"Kalau candaan yang merendahkan perempuan masih dianggap lucu, jangan heran kalau kekerasan seksual akan terus terjadi. Ya, yang aku maksud adalah SS grup chat yang diklaim beranggotakan mahasiswa FHUI. (Catatan: Tulisan ini cukup panjang. Untuk yang ingin mendalami topiknya, aku menyertakan beberapa referensiku menulis artikel ini di akhir.) Isi SS tersebut bukan sekadar obrolan “nakal” atau humor gelap yang kelewat batas. Isinya adalah penghinaan terhadap perempuan yang dibungkus jadi lelucon, komentar soal tubuh, candaan tentang alat vital, sampai plesetan “asas perkosa.” Yang paling meresahkan adalah betapa santai dan entengnya semua itu diucapkan, seolah tidak ada yang salah. Begitulah cara kerja rape culture yang munculnya di tengah tawa, di tengah canda, dan di tengah kalimat santai, “Yaelah, gitu doang baper.” Masalahnya bukan hanya pada pembicaraan kotor di grup tertutup. Masalahnya adalah, ada budaya yang membuat mereka merasa aman untuk ngomong seperti itu. Budaya yang menganggap penghinaan terhadap perempuan sebagai hiburan, objektifikasi sebagai keakraban, dan candaan tentang kekerasan seksual sebagai sesuatu yang masih bisa ditoleransi. Setiap kali obrolan semacam ini dikritik, responsnya hampir selalu sama: “Itu kan cuma bercanda.” Padahal, bahasa yang terus diulang akan membentuk cara pandang. Lelucon yang terus ditertawakan akan membentuk batas moral baru. Sesuatu yang awalnya terasa salah, lama-lama terasa biasa. Sesuatu yang awalnya bikin tidak nyaman, lama-lama dianggap terlalu remeh untuk dipersoalkan. Intinya, masalahnya bukan soal selera humor. Masalahnya adalah normalisasi. Grup chat seperti ini adalah bentuk digital dari ""locker room talk"": obrolan sesama laki-laki yang menjadikan perempuan sebagai objek, sebagai bahan tertawaan, sebagai alat untuk membangun keakraban antar laki-laki. Dalam banyak kasus, obrolan seperti ini bukan cuma soal isi, tapi juga soal fungsi sosialnya. Ada laki-laki yang memakai bahasa merendahkan perempuan untuk dianggap lucu, diterima di kelompok, atau terlihat “selevel” dengan teman-temannya. Perempuan dijadikan alat bonding. Penghinaan dijadikan perekat pertemanan. Di situlah bahayanya. Karena, kalau keakraban dibangun dengan cara merendahkan perempuan, maka yang sedang dipelihara bukan cuma humor yang buruk, tapi juga pola pikir yang rusak. Perempuan tidak lagi hadir sebagai manusia utuh yang punya kehendak, batas, dan martabat, melainkan sebagai tubuh, objek, bahan komentar, bahan fantasi, bahan lucu-lucuan. Bahasa seperti ini tidak netral. Ia melatih cara pandang. Ia mendidik orang untuk terbiasa melihat perempuan tanpa empati. Salah satu bagian paling mengerikan dari semua SS itu adalah saat konsep consent yang dijadikan bahan candaan. Kalimat seperti “diam berarti dikabulkan” atau “diam berarti consent” mungkin terdengar seperti permainan kata bagi mereka yang mengetik dan menertawakannya. Tapi justru itu masalahnya. Consent diperlakukan seolah konsep yang lucu, absurd, atau terlalu dilebih-lebihkan untuk dianggap serius. Padahal consent adalah batas dasar dalam relasi antarmanusia. Consent bukan sesuatu yang bisa diasumsikan. Bukan sesuatu yang bisa dipelesetkan seenaknya. Dan jelas, diam bukan persetujuan. Ketika consent dijadikan lelucon, yang sebenarnya sedang terjadi adalah pengaburan batas. Orang dilatih untuk menganggap bahwa persetujuan itu abu-abu, bahwa ketidaknyamanan bisa diabaikan, bahwa batas tubuh orang lain masih bisa dinegosiasikan lewat tekanan, situasi, atau tafsir sepihak. Kasus seperti ini sering tumbuh subur di kampus. Bukan karena kampus itu penuh orang jahat, tapi karena kampus adalah ruang sosial yang sangat kuat membentuk norma. Di sana ada grup pertemanan yang homogen, ruang obrolan yang eksklusif, tekanan untuk terlihat nyambung, dan ketakutan untuk jadi orang yang “terlalu serius” atau “nggak asik.” Dalam atmosfer seperti itu, banyak orang memilih ikut tertawa daripada dianggap merusak suasana. Banyak orang tahu itu salah, tapi tetap diam karena tidak mau jadi yang berbeda. Padahal, justru di situlah masalahnya membesar. Rape culture tidak bertahan hanya karena ada yang membuat lelucon, tapi juga karena ada terlalu banyak orang yang membiarkannya lewat. Diam memang sering dibungkus sebagai netralitas, padahal dalam konteks seperti ini, pelaku mengartikan diam sebagai izin. Ketika tidak ada yang menegur, obrolan itu terasa aman. Ketika semua orang tertawa, kekerasan jadi terdengar ringan. Ketika tidak ada konsekuensi sosial, pelanggaran moral lama-lama terasa wajar. Jadi ini bukan cuma soal “siapa yang ngomong.” Ini juga soal siapa yang membiarkan. Yang sering luput adalah: banyak orang merasa mereka jelas menentang pemerkosaan atau kekerasan seksual, sehingga menganggap candaan seperti ini tidak ada hubungannya dengan mereka. Padahal, justru sangat berbahaya jika orang yang menolak kekerasan seksual malah ikut menertawakan bahasa yang menormalisasi tindakan itu. Orang bilang mendukung perempuan, tapi tetap diam saat perempuan direndahkan dalam obrolan sehari-hari. Kita terlalu sering membayangkan kekerasan seksual sebagai sesuatu yang jauh, gelap, ekstrem, dan dilakukan oleh “monster”. Padahal budaya yang menopangnya dibentuk di ruang-ruang yang terasa sangat biasa: tongkrongan, kelas, circle pertemanan, grup chat. Dibentuk oleh tawa, pembiaran, dan kalimat-kalimat yang dianggap receh. Itulah kenapa persoalannya tidak selesai hanya dengan bilang, “Ya itu mah bercanda doang.” Justru kalimat itu adalah bagian dari masalah. Karena selama kita terus menyebut penghinaan sebagai humor, objektifikasi sebagai kelakar, dan candaan pemerkosaan sebagai sesuatu yang masih bisa dimaklumi, kita sedang ikut merawat budaya yang membuat kekerasan seksual lebih mudah dinormalisasi. Mungkin tidak semua orang di grup seperti itu akan menjadi pelaku kekerasan. Tapi kalau mereka terus-menerus dilatih untuk melihat perempuan sebagai objek dan consent sebagai bahan tertawaan, itu tetap berbahaya. Karena budaya tidak dibentuk dalam satu malam. Ia dibentuk dari kebiasaan, pengulangan, dan hal-hal yang dibiarkan. Rape culture dimulai dari kalimat yang dianggap lucu, teman yang tidak ditegur, grup chat yang isinya “becanda doang.” Dari orang-orang yang tahu itu salah, tapi memilih diam karena takut suasana jadi nggak enak. Dan kalau semua itu bisa menjadi awal, maka penghentiannya juga harus dimulai dari sana. Dari mulai berani bilang, “Ini nggak lucu,” menolak ikut nimbrung saat perempuan dijadikan objek, dan keberanian untuk bikin suasana jadi canggung atau bahkan keluar dari circle. Daftar Pustaka: University of New Hampshire SHARPP Center: ""Rape Culture"" Penjelasan mendasar tentang apa itu budaya pemerkosaan dan bagaimana ia hidup di masyarakat kita. EBSCO Research Starters: ""Rape Culture"" Pengantar komprehensif tentang sejarah dan dampak normalisasi kekerasan seksual. Everyday Feminism: ""10+ Examples of Everyday Language That Supports Rape Culture"" Artikel yang membongkar frasa-frasa ""receh"" sehari-hari yang ternyata melanggengkan kekerasan. Culture, Health & Sexuality (2019): ""Locker room talk: male bonding and sexual degradation in drinking stories"" Jurnal yang membedah bagaimana laki-laki menggunakan pelecehan verbal terhadap perempuan sekadar untuk diakui oleh teman-teman tongkrongannya. Coastal Carolina University Honors Thesis (2019): ""Grab 'em by the Pussy: How Hegemonic Masculinity Encourages Locker Room Talk and Sexual Violence"" Membahas tuntutan ""tampil jantan"" (hegemonic masculinity) yang justru mendorong laki-laki mewajarkan kekerasan seksual.",Positive,1
2026-04-12 13:05:44,"@DennySeggssegar @sampahfhui nag all you want stupidass, educate yourself.",Negative,1
2026-04-12 13:19:20,[PERNYATAAN SIKAP BEM FH UI BSO FH UI DAN BK FH UI] Halo FH UI UI dan Indonesia! https://t.co/lTrpNXG3vh,Neutral,0
2026-04-12 13:36:50,ni akun MBG ampe repost kasus FH UI,Neutral,0
2026-04-12 14:02:51,@DennySeggssegar @sampahfhui lu nih kayaknya sekongkol ama mereka ye,Negative,2
2026-04-12 14:04:14,@DennySeggssegar @sampahfhui dituntut balik? WKWK mending berdoa biar ga dikeluarin dari kampus deh,Negative,2
2026-04-12 14:29:51,@ruigojiten Q1 baru lewat tp mahasiswa hukum ui udh segudang yg SA :) maybe they should change their name to fakultas sarang pelecehan,Positive,1
2026-04-12 14:31:02,baca kasus fh ui ternganga aku wakk,Neutral,0
2026-04-12 14:32:45,"@Ritzhy1 @ulil_f4 @bachrum_achmadi Anda ga ngerti hukum, anda kalo ngomong kyk gini sama pengacara/advokat yg ada anda diketawain. Kalo ga ngerti mending diem drpd byk ngomong tp memperlihatkan kebodohan sendiri. Maaf saya SS komen anda yg memanggil jokowi dg kasar ke relawan, hati2 dg ketikan ands",Neutral,0
2026-04-12 14:33:03,@DennySeggssegar @sampahfhui Habis ngetik gini isepin deh peler mereka satu satu biar lu puas,Negative,2
2026-04-12 14:58:16,"The fact mereka ga cuman bikin malu FH UI, tapi juga anak hukum satu Indonesia. Masih punya muka kah mereka nanti? Harusnya sih ngga ya kalo PUNYA MALU",Positive,1
2026-04-12 15:08:13,"Sadly, grup chat/obrolan kek gini banyak bgt di lingkungan kampus manapun. Itu yg di fh ui kebetulan lagi ketauan aja. Ayok bareng"" lah stop normalisasi pelecehan kek gini di lingkungan sekitar kita apalagi di institusi pendidikan",Positive,1
2026-04-12 15:14:35,@DennySeggssegar @sampahfhui (((CALON))) PENGACARA. Ngakak. 🤣,Neutral,0
2026-04-12 15:16:45,"Najis najis najisss puh puhhh puhhh. Fak u org2 pelaku pelecehan FH UI fakyu. Bejat gada adab ga pnya etika. Mahal2 bapak lo kuliahin lo, malah jdi sampah masyarakat. Gue berdoa semoga lo semua gada yg berhasil berkecimpung di dunia hukum. Ga pantes anjigg",Positive,1
2026-04-12 15:31:12,@jeylifis ANJIRT BARUSAN LEWAT SEREM BGT JIR FHUI LOH JIR,Neutral,0
2026-04-12 15:36:45,"@MastinSaurus @sampahfhui bwang, obrolan grup tongkrongan tuh push rank + ngopi + kerjaan/duit + peradaban roma + politik kalo lu bikin grup cuma buat ngomongin badan cewe berarti isi kepala lu porno dan niatnya emang buat ngelecehin ga peduli privat/publik, dan itu gak normal bang. ganti circle lu",Positive,1
2026-04-12 15:45:33,baru baca kasus fh ui anjir kacau bngt as anak hukum jujur gue marah bngt. kok bisa sih otak bokep masuk ke fh anj.,Positive,1
2026-04-12 15:53:41,Malu-maluin sekampus. Ngga usah lu kuliah di fhui.,Positive,1
2026-04-12 15:56:16,"org stres hari gini, tadi anak fhui pelecehan, skrg freak yg ngajak vidcallan?? ciut lah terong kau itu",Positive,1
2026-04-12 15:56:41,"jujur masih sakit ati gw sebagai mahasiswa fh ui ngebaca respon orang-orang tentang isu ks di fh ui baru baru ini, jadi ikutan ngerasa malu dan emosi tau ga si..., baik yang terlibat secara langsung dan tidak dalam percakapan saat itu masalahnya orang-orang yang punya ""nama"" 😬",Positive,1
2026-04-12 16:26:35,Tongkrongan di grup chat FHui isinya pelecehan semua,Positive,1
2026-04-12 16:31:58,"@revol7hink @sampahfhui Ranah privat apaan... ranah privat tp isinya pelecehan ya tetap aja itu pelanggaran hukum.. pelanggarannya apa..?? Krn di ranah privat, lu mukul adek lu di rmh, lu pun bs kena jerat hukum klo tuh anak ngelapor.. dongok",Positive,1
2026-04-12 17:10:51,"@MastinSaurus @sampahfhui semoga elu, ibu lu, kaka dan adik perempuan lu gapernah dilecehin dgn dalih yapping di grup private, ada batas dimana sok suci sama emg jgn dinormalisasi. hrus tau rape culture pyramid. tp terlalu bego keknya utk pahin itusi",Positive,1
2026-04-12 17:21:22,"@sampahfhui Untuk menyelamatkan nama besar FH UI, hukuman apa yang pantas untuk mereka menurut kalian? Soalnya ini FH UI loh, harusnya mereka tau bahwa MORAL dan WISDOM itu diatas aturan tertulis.",Positive,1
2026-04-12 17:32:12,@revol7hink @sampahfhui Tdk ada korban apaan... jelas2 itu ada objek (bagian tubuh wanita) n nama korban tp di samarkan.. n lagian katanya itu baru sebagian chat doank... Artinya ada bnyk chat lainnya yg blm terpublish.....,Positive,1
2026-04-12 17:33:32,"Perempuan perempuan di FH UI harus speak up for their betterment in study, karena WDYM orang orang kaya gini masih ngampus dan u guys menjadi korban ketidaknyamanan dan ketakutan karena bakalan jadi bahan objektifikasi mereka?",Positive,1
2026-04-12 18:18:19,@revol7hink @sampahfhui Kau paok ngatur2.. gw bilang kita tunggu aja lanjutannya... Clckckckck...,Neutral,0
2026-04-12 19:23:44,fhui ternyata bibit predator kekerasan seksual,Positive,1
2026-04-12 19:44:16,"emang gitu ya pelaku pelecehan seksual, selalu merangkap jadi komedian. lucu banget soalnya minta maaf karena ketauan, copas, di grup. memang top lah pelaku pelecehan FHUI ini, 16 orang pula. 😌",Positive,1
2026-04-12 21:20:00,"@MastinSaurus @sampahfhui ""Udah bener mereka begitu di grup"" Jadi kalopun yg mereka lakukan tu perencanaan pembunuhan sekalipun, asalkan dilakukan di grup private gapapa ya? Pelecehan segimana bentuknya gapapa asal private buat tongkrongan sendiri? Lucu sekali muda mudi WNI ini",Positive,1
2026-04-12 22:34:42,"@savehexc MALU""IN FH UI ANJIM",Positive,1
2026-04-12 23:11:06,"malu maluin FH UI sama UI jings, mana seangkatan lagi ewhhhh",Positive,1
2026-04-12 23:43:02,"@MastinSaurus @sampahfhui isi kepala mah biarin aja di dalem kepala. kayak gakbisa dikeep sendiri aja. harus banget bonding dengan orang lain dengan mengeluarkan isi kepala yang bejat begitu? ya emang salah yang ngeshare, yang ngeshare isi kepalanya yang gajelas itu. udah tau bejat, malah diomongin di gc",Negative,1
2026-04-12 23:47:30,@dweznu @bebekqaleo @sampahfhui @fpciui bener salah satunya adalah grup cowo yg pada saat itu masih pacar aku dan yang dibahas adalah akuu memang kebanyakan cowo seperti ini,Neutral,0
2026-04-12 23:47:48,@bebekqaleo @sampahfhui anj muka sm kelakuan sm sm jelekkk,Neutral,1
2026-04-12 23:47:59,@bebekqaleo @txtdrstoryWA @sampahfhui jadi sarjana hukum paling mentok admin LBH mereka ini,Neutral,0
2026-04-12 23:49:39,@sampahfhui Fakta bahwa mereka akan tenang2 aja di masa depan krn mungkin di back up keluarga dan mungkin akan jadi org berpengaruh di masa depan lagi-lagi karena keluarganya,Negative,0
2026-04-12 23:49:48,@oddlilieth @sampahfhui Mampus tuh org,Positive,1
2026-04-12 23:52:13,@sampahfhui Najis bgt..,Positive,1
2026-04-12 23:53:43,@bebekqaleo @sampahfhui @fpciui kirain grup chat gua,Neutral,0
2026-04-12 23:54:53,@Skuttas69 @sampahfhui Karena ga diajak Ini dia spill temen2nya pasti ngeh siapa terus dosa nya di spill balik Ada2 aja bocah tanggung,Negative,2
2026-04-12 23:55:16,@bebekqaleo @sampahfhui ga punya manner samsek jijikkk semoga w dijauhkan dari orang orang begini,Positive,1
2026-04-12 23:55:47,@MastinSaurus @sampahfhui tongkrongan pemerkosa kah?,Positive,1
2026-04-12 23:55:52,@chilzdren @MastinSaurus @sampahfhui Ya makanya gua bilang harusnya itu grup (fhui) kaya gini aja...,Neutral,0
2026-04-12 23:55:56,@sampahfhui Gblk banget sejak kapan diam berarti consent? Kok bisa secabul ini masuk fh? UI? SAKIT.,Positive,1
2026-04-12 23:55:56,@oddlilieth @sampahfhui mayoritas pelakunya mayoritas,Neutral,0
2026-04-12 23:57:28,@sampahfhui Kualitas manusia UI kok banyak yg jelek si? Dulu tuh kesannya anak UI pinter dan wow. Byk bgt kasus aneh taunya dr UI.,Neutral,1
2026-04-13 00:06:05,"@MastinSaurus @sampahfhui menurut saya, meski grup privat, tapi kan itu grup mewadahi orang” mesum. adanya wadah tsb menjadikan orang” itu ngerasa punya power krn gak sendiri, nanti takutnya mereka makin berani krn juga ngerasa banyak yg normalisasi padahal yg normalisasi cuman orang” kek mereka doang.",Positive,1
2026-04-13 00:07:07,"sambil baca isu dari @sampahfhui . Siapapun yang intiated ini, anda sangat berani sih. tempat akademisi, seharusnya liat sisi akademisi, bukan keranah pribadi. walau ga tau ini grup/komun chat sirkel atau official. tapi etika berkomunikasi harusnya tetap ada.",Neutral,1
2026-04-13 03:19:34,"@MastinSaurus @sampahfhui Ya tetep salah dong, mau depan atau belakang korban sekalipun. Karena itu udah masuk ranah ngelecehin, bukan cuma “isi kepala” lagi. Bedanya kalau di kepala itu nggak nyakitin siapa-siapa, tapi kalau udah diomongin even di grup private, itu udah jadi tindakan nyata. (1/2)",Positive,1
2026-04-13 04:04:45,@DennySeggssegar @sampahfhui pft calon pengacara handal katanya,Neutral,1
2026-04-13 04:44:12,@DennySeggssegar @KSubktkn @hesselinker lu kira paham liberal bolehin pelecehan ama pemerkosaan apa. kocaklu,Positive,1
2026-04-13 04:54:03,@DennySeggssegar @sampahfhui Ngebelain sampe segininya... pelaku juga kah?,Negative,1
2026-04-13 05:31:22,"@revol7hink @debhua Make fun rape btw, berpegang bahwa diam = consent = bukan pemerkosaan, orang-orang ini bakal jadi calon penentu keadalian",Positive,1
2026-04-13 06:12:30,@revol7hink @tsetchaiklatte dih? dikira pelecehan harus secara fisik doang? ada yg namanya pelecehan verbal. belajar lg makanya,Positive,1
2026-04-13 06:21:13,"@revol7hink @geniusmurariki @yaudsbrok @bolabolaebol @sadampermana_w tanpa ada pihak yang dirugikan???? literally di ss group nya mereka menyebut NAMA KORBAN sampai harus di sensor, menurut lu itu ga dirugikan secara hukum???? dosen nya sendiri loh, mau dicium keteknya menurut lu ga ada yang dirugikan???",Positive,1
2026-04-13 06:31:24,"@revol7hink @sadampermana_w Mungkin menurut lu sebatas “omongan”, tanpa perbuatan. Omongan di grup privat yang rutin kek gini nunjukin pola pikir yang rusak parah, apalagi dari calon ahli hukum. Korban yang namanya disebut pasti merasa nggak aman dan trauma, meski tidak ada foto/vid mereka yang disebar.",Positive,1
2026-04-13 06:31:40,@direktoridosen @sampahfhui @BudiBukanIntel @AzzamIzzulhaq @barcastuff_idn @FandomID_ @iPopBase @perum_damri Itu emang di grup ada yg cepu? Atau emang chatnya leaked?,Neutral,0
2026-04-13 06:33:10,@revol7hink @bolabolaebol @geniusmurariki @yaudsbrok @sadampermana_w ADAAA!!! ADA PEMBICARAAN KS DI DALEM SS AN GRUP YANG KATA LU PRIVAT ITUUU makanya dikecam orang orang astagaaa,Positive,1
2026-04-13 06:49:34,"@revol7hink @sadampermana_w Kalau misalnya gak DO, gmn caranya menjamin agar orang tersebut gak melakukan hal serupa lagi? Kita udah tau nama-namanya, gmn menciptakan ruang aman kalo pelaku masih berkeliaran di lingkungan kampus? Apakah mahasiswi di FH UI masih merasa nyaman satu kelas/kelompok dgn mereka?",Positive,1
